Owner,Number of Plants
Shyam Steel Industries Ltd,1
Sunflag Iron and Steel Co Ltd,1
Tata Metaliks Ltd,1
Tata Steel BSL Ltd,1
Ternium Argentina SA,1
Tata Steel Long Products Ltd,1
Vedanta Iron and Steel Ltd,1
Welspun Corp Ltd,1
Yazdani Steel and Power Ltd,1
PT Mandan Steel,1
Dexin Steel Pte Ltd,1
PT Gunung Raja Paksi Tbk,1
PT Jakarta Prima Steel Industries,1
PT Krakatau Steel (Persero) Tbk,1
PT Krakatau Posco,1
PT The Master Steel MFG,1
LNM Group,1
Ahya Steel Folad Baft Co,1
Ardakan Steel Complex Co,1
Arfa Iron and Steel Co,1
Arvand Jahanara Steel Co,1
Bafgh Mineral Complex Iron & Steel Co,1
Bonab Steel Complex,1
Butia Iranian Steel Co,1
Chadormalu Mining & Industrial Co,1
Esfahan Steel Co,1
Iranian Ghadir Iron & Steel Co,1
Ghaenat Steel Complex,1
Gohar Zamin Iron Ore Co,1
Iran Alloy Steel Co,1
Sirjan Jahan Steel Co,1
Khorasan Steel Complex Co,1
Hoa Phat Hai Duong Steel JSC,1
Kish South Kaveh Steel Co,1
Mianeh Steel,1
Voestalpine Stahl Donawitz GmbH,1
Natanz Steel Co,1
Neyriz Ghadir Steel Co,1
Pasargad Steel Complex Co,1
Persian Gulf Saba Steel,1
Sabzevar Pars Steel Complex,1
Iranian Sirjan Steel Co,1
West Alborz Steel Co,1
Zarand Iranian Steel Co,1
Al Anmaa for Construction Materials Production Ltd,1
F&F Steel,1
Mass Iraq Iron and Steel Industry Co,1
Van Company for Industrial Investment and General Trading,1
Acciaierie d'italia SpA,1
Voestalpine Stahl GmbH,1
AFV Acciaierie Beltrame SpA,1
Alfa Acciai SpA,1
Acciaierie di Sicilia SpA,1
Acciaierie Bertoli Safau SpA,1
Duferco Travi e Profilati SpA,1
Acciaierie di Calvisano SpA,1
Feralpi Siderurgica SpA,1
Ferriera Valsabbia SpA,1
Acciai Speciali Terni SpA,1
Acciaieria Arvedi SpA,1
Industrie Riunite Odolesi IRO SpA,1
ORI Martin - Acciaieria e Ferriera di Brescia SpA,1
Acciaierie di Verona SpA,1
Ferriere Nord SpA,1
Siderpotenza SpA,1
Baku Steel Company QSC,1
Dalmine SpA,1
Aichi Steel Corp,1
Chubu Steel Plate Co Ltd,1
Daido Steel Co Ltd,1
Sulb Company BSCC,1
Abul Khair Steel Ltd,1
Bangladesh Steel Re-Rolling Mills Ltd,1
Kishiwada Steel Co Ltd,1
Kobe Steel Ltd,1
BSRM Steels Ltd,1
Nakayama Steel Products Co Ltd,1
Nakayama Steel Works Ltd,1
GPH Ispat Ltd,1
Sanyo Special Steel Co Ltd,1
KSRM Steel Plant Ltd,1
Osaka Steel Co Ltd,1
BMZ-Upravlyayushchaya Kompaniya Kholdinga BMK JSC,1
Topy Industries Ltd,1
Yamato Steel Co Ltd,1
Qazaqstan Steel Group LLP,1
Devki Steel Mills Ltd,1
United Steel Industries Co KSCC,1
Libyan Iron and Steel Co,1
Alliance Steel (M) Sdn Bhd,1
Ann Joo Integrated Steel Sdn Bhd,1
Ann Joo Steel Bhd,1
Eastern Steel Sdn Bhd,1
Eden Flame Sdn Bhd,1
Antara Steel Mills Sdn Bhd,1
Thy-Marcinelle SA,1
Malaysia Steel Works (KL) Bhd,1
Southern Steel Bhd,1
ArcelorMittal México SA de CV,1
Empresa Siderúrgica del Mutún,1
Outokumpu Stainless USA LLC,1
Grupo Acerero SA de CV,1
Aperam Inox America do Sul SA,1
Tubos de Acero de Mexico SA,1
ArcelorMittal Tubarão Comercial SA,1
Talleres y Aceros SA de CV,1
Moldova Steel Works JSC,1
Maghreb Steel SA,1
Riva Industries,1
Univers Acier,1
Myanmar Economic Corp,1
Hyron Africa,1
New Zealand Steel Ltd,1
Kam Industries (Nigeria) Ltd,1
Aco Verde do Brasil SA,1
Makstil AD,1
